"","method","TP","TN","FP","FN","performance","best.model"
"1","KNN.bc","4","0","1","0","0.888888888888889","k: 3"
"2","KNN.bc","3","0","1","1","0.75","k: 2"
"3","KNN.bc","3","1","0","1","0.857142857142857","k: 3"
"4","KNN.bc","4","1","0","0","1","k: 3"
"5","KNN.bc","3","0","1","1","0.75","k: 1"
"6","KNN.bc","3","0","1","1","0.75","k: 1"
"7","KNN.bc","4","0","1","0","0.888888888888889","k: 3"
"8","KNN.bc","3","0","1","0","0.857142857142857","k: 5"
"9","KNN.bc","3","0","1","0","0.857142857142857","k: 6"
"10","KNN.bc","2","1","0","1","0.8","k: 5"
"11","KNN.l2","4","1","0","0","1","k: 1"
"12","KNN.l2","4","1","0","0","1","k: 1"
"13","KNN.l2","4","1","0","0","1","k: 1"
"14","KNN.l2","4","1","0","0","1","k: 1"
"15","KNN.l2","4","1","0","0","1","k: 1"
"16","KNN.l2","4","1","0","0","1","k: 1"
"17","KNN.l2","4","0","1","0","0.888888888888889","k: 3"
"18","KNN.l2","3","1","0","0","1","k: 1"
"19","KNN.l2","3","1","0","0","1","k: 1"
"20","KNN.l2","2","1","0","1","0.8","k: 1"
"21","KNN.unifrac","3","1","0","1","0.857142857142857","k: 1"
"22","KNN.unifrac","4","0","1","0","0.888888888888889","k: 1"
"23","KNN.unifrac","4","0","1","0","0.888888888888889","k: 11"
"24","KNN.unifrac","4","0","1","0","0.888888888888889","k: 1"
"25","KNN.unifrac","3","1","0","1","0.857142857142857","k: 1"
"26","KNN.unifrac","3","1","0","1","0.857142857142857","k: 1"
"27","KNN.unifrac","4","0","1","0","0.888888888888889","k: 1"
"28","KNN.unifrac","3","0","1","0","0.857142857142857","k: 3"
"29","KNN.unifrac","3","1","0","0","1","k: 1"
"30","KNN.unifrac","3","1","0","0","1","k: 1"
"31","RF.bc","4","0","1","0","0.888888888888889",""
"32","RF.bc","4","0","1","0","0.888888888888889",""
"33","RF.bc","4","0","1","0","0.888888888888889",""
"34","RF.bc","4","1","0","0","1",""
"35","RF.bc","4","0","1","0","0.888888888888889",""
"36","RF.bc","3","0","1","1","0.75",""
"37","RF.bc","4","0","1","0","0.888888888888889",""
"38","RF.bc","3","0","1","0","0.857142857142857",""
"39","RF.bc","2","0","1","1","0.666666666666667",""
"40","RF.bc","2","0","1","1","0.666666666666667",""
"41","RF.l2","4","0","1","0","0.888888888888889",""
"42","RF.l2","4","0","1","0","0.888888888888889",""
"43","RF.l2","4","1","0","0","1",""
"44","RF.l2","4","0","1","0","0.888888888888889",""
"45","RF.l2","4","0","1","0","0.888888888888889",""
"46","RF.l2","4","1","0","0","1",""
"47","RF.l2","4","0","1","0","0.888888888888889",""
"48","RF.l2","3","0","1","0","0.857142857142857",""
"49","RF.l2","3","1","0","0","1",""
"50","RF.l2","3","1","0","0","1",""
