"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"1","KNN.bc","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"2","KNN.bc","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"3","KNN.bc","4","0","0","0","1","1",NA,NA,NA,"k: 8"
"4","KNN.bc","4","0","0","0","1","1",NA,NA,NA,"k: 2"
"5","KNN.bc","4","0","0","0","1","1",NA,NA,NA,"k: 3"
"6","KNN.bc","2","2","0","2","0.666666666666667","0.408248290463863",NA,NA,NA,"k: 1"
"7","KNN.bc","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"8","KNN.bc","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"k: 1"
"9","KNN.bc","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"10","KNN.bc","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"11","KNN.bc","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"12","KNN.bc","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"13","KNN.bc","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"14","KNN.bc","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,"k: 10"
"15","KNN.bc","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"16","KNN.bc","2","2","0","2","0.666666666666667","0.408248290463863",NA,NA,NA,"k: 1"
"17","KNN.bc","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"18","KNN.bc","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"k: 1"
"19","KNN.bc","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"20","KNN.bc","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"21","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"22","KNN.l2","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"23","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"24","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 2"
"25","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"26","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 3"
"27","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"28","KNN.l2","3","0","0","0","1","1",NA,NA,NA,"k: 2"
"29","KNN.l2","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"30","KNN.l2","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"31","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 2"
"32","KNN.l2","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"33","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"34","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"35","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 3"
"36","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 2"
"37","KNN.l2","4","0","0","0","1","1",NA,NA,NA,"k: 3"
"38","KNN.l2","3","0","0","0","1","1",NA,NA,NA,"k: 3"
"39","KNN.l2","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"40","KNN.l2","3","0","0","0","1","1",NA,NA,NA,"k: 4"
"41","KNN.pc.uni.10","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"42","KNN.pc.uni.10","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"43","KNN.pc.uni.10","4","0","0","0","1","1",NA,NA,NA,"k: 7"
"44","KNN.pc.uni.10","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"45","KNN.pc.uni.10","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"46","KNN.pc.uni.10","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"47","KNN.pc.uni.10","4","0","0","0","1","1",NA,NA,NA,"k: 5"
"48","KNN.pc.uni.10","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"k: 1"
"49","KNN.pc.uni.10","2","1","0","1","0.8","0.577350269189626",NA,NA,NA,"k: 2"
"50","KNN.pc.uni.10","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"51","KNN.pc.uni.10","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"52","KNN.pc.uni.10","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"53","KNN.pc.uni.10","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"54","KNN.pc.uni.10","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"55","KNN.pc.uni.10","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 2"
"56","KNN.pc.uni.10","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"57","KNN.pc.uni.10","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"58","KNN.pc.uni.10","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"k: 1"
"59","KNN.pc.uni.10","2","1","0","1","0.8","0.577350269189626",NA,NA,NA,"k: 1"
"60","KNN.pc.uni.10","3","0","0","0","1","1",NA,NA,NA,"k: 6"
"61","KNN.pc.uni.12","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"62","KNN.pc.uni.12","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"63","KNN.pc.uni.12","4","0","0","0","1","1",NA,NA,NA,"k: 7"
"64","KNN.pc.uni.12","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"65","KNN.pc.uni.12","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"66","KNN.pc.uni.12","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"67","KNN.pc.uni.12","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 5"
"68","KNN.pc.uni.12","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"k: 1"
"69","KNN.pc.uni.12","2","1","0","1","0.8","0.577350269189626",NA,NA,NA,"k: 2"
"70","KNN.pc.uni.12","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"71","KNN.pc.uni.12","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"72","KNN.pc.uni.12","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"73","KNN.pc.uni.12","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"74","KNN.pc.uni.12","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"75","KNN.pc.uni.12","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 2"
"76","KNN.pc.uni.12","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"77","KNN.pc.uni.12","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"78","KNN.pc.uni.12","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"k: 1"
"79","KNN.pc.uni.12","2","1","0","1","0.8","0.577350269189626",NA,NA,NA,"k: 1"
"80","KNN.pc.uni.12","3","0","0","0","1","1",NA,NA,NA,"k: 6"
"81","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"82","KNN.pc.uni.14","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"83","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 7"
"84","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"85","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"86","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"87","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 5"
"88","KNN.pc.uni.14","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"k: 1"
"89","KNN.pc.uni.14","2","1","0","1","0.8","0.577350269189626",NA,NA,NA,"k: 2"
"90","KNN.pc.uni.14","3","0","0","0","1","1",NA,NA,NA,"k: 1"
"91","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"92","KNN.pc.uni.14","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"93","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"94","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"95","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 2"
"96","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"97","KNN.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"98","KNN.pc.uni.14","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"k: 1"
"99","KNN.pc.uni.14","2","1","0","1","0.8","0.577350269189626",NA,NA,NA,"k: 1"
"100","KNN.pc.uni.14","3","0","0","0","1","1",NA,NA,NA,"k: 6"
"101","KNN.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"102","KNN.pc.uni.16","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"k: 1"
"103","KNN.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,"k: 7"
"104","KNN.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,"k: 1"
"105","KNN.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,"k: 1"
