"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"1","KNN.bc","10","7","7","7","0.588235294117647","0.465428276573787",NA,NA,NA,"k: 7"
"2","KNN.bc","7","10","7","10","0.451612903225806","0.310353394449238",NA,NA,NA,"k: 7"
"3","KNN.bc","11","6","7","6","0.628571428571429","0.511941477177484",NA,NA,NA,"k: 7"
"4","KNN.bc","11","6","4","6","0.6875","0.602146904357015",NA,NA,NA,"k: 6"
"5","KNN.bc","7","10","4","10","0.5","0.402100255154174",NA,NA,NA,"k: 11"
"6","KNN.bc","9","8","1","8","0.666666666666667","0.628840077129081",NA,NA,NA,"k: 9"
"7","KNN.bc","10","7","3","7","0.666666666666667","0.59067964718079",NA,NA,NA,"k: 6"
"8","KNN.bc","8","9","2","9","0.592592592592593","0.534578628195974",NA,NA,NA,"k: 20"
"9","KNN.bc","11","6","4","6","0.6875","0.602146904357015",NA,NA,NA,"k: 19"
"10","KNN.bc","12","4","2","4","0.8","0.750322473484129",NA,NA,NA,"k: 20"
"11","KNN.l2","9","8","2","8","0.642857142857143","0.584530272004163",NA,NA,NA,"k: 4"
"12","KNN.l2","11","6","5","6","0.666666666666667","0.571562082472669",NA,NA,NA,"k: 3"
"13","KNN.l2","8","9","4","9","0.551724137931034","0.455207681343632",NA,NA,NA,"k: 3"
"14","KNN.l2","9","8","5","8","0.580645161290323","0.472504038859521",NA,NA,NA,"k: 3"
"15","KNN.l2","4","13","1","13","0.363636363636364","0.36384165019444",NA,NA,NA,"k: 6"
"16","KNN.l2","11","6","4","6","0.6875","0.602146904357015",NA,NA,NA,"k: 1"
"17","KNN.l2","5","12","3","12","0.4","0.325473276799794",NA,NA,NA,"k: 5"
"18","KNN.l2","7","10","0","10","0.583333333333333","0.591080463289049",NA,NA,NA,"k: 3"
"19","KNN.l2","8","9","4","9","0.551724137931034","0.455207681343632",NA,NA,NA,"k: 6"
"20","KNN.l2","10","6","2","6","0.714285714285714","0.657375735133917",NA,NA,NA,"k: 5"
"21","KNN.pc.uni.10","7","10","5","10","0.482758620689655","0.369812248931254",NA,NA,NA,"k: 11"
"22","KNN.pc.uni.10","8","9","7","9","0.5","0.363912000261435",NA,NA,NA,"k: 9"
"23","KNN.pc.uni.10","10","7","7","7","0.588235294117647","0.463235294117647",NA,NA,NA,"k: 16"
"24","KNN.pc.uni.10","9","8","4","8","0.6","0.50596527734936",NA,NA,NA,"k: 14"
"25","KNN.pc.uni.10","6","11","5","11","0.428571428571429","0.311503592727462",NA,NA,NA,"k: 13"
"26","KNN.pc.uni.10","8","9","3","9","0.571428571428571","0.492696917580886",NA,NA,NA,"k: 18"
"27","KNN.pc.uni.10","8","9","7","9","0.5","0.361507904258135",NA,NA,NA,"k: 11"
"28","KNN.pc.uni.10","6","11","3","11","0.461538461538462","0.384870960859098",NA,NA,NA,"k: 5"
"29","KNN.pc.uni.10","10","7","6","7","0.606060606060606","0.491529496329022",NA,NA,NA,"k: 8"
"30","KNN.pc.uni.10","11","5","5","5","0.6875","0.598214285714286",NA,NA,NA,"k: 3"
"31","KNN.pc.uni.12","10","7","6","7","0.606060606060606","0.493525930991161",NA,NA,NA,"k: 11"
"32","KNN.pc.uni.12","9","8","7","8","0.545454545454546","0.415489779509652",NA,NA,NA,"k: 9"
"33","KNN.pc.uni.12","10","7","6","7","0.606060606060606","0.491529496329022",NA,NA,NA,"k: 16"
"34","KNN.pc.uni.12","9","8","6","8","0.5625","0.441720904291095",NA,NA,NA,"k: 14"
"35","KNN.pc.uni.12","7","10","3","10","0.518518518518518","0.440317179262868",NA,NA,NA,"k: 13"
"36","KNN.pc.uni.12","8","9","3","9","0.571428571428571","0.492696917580886",NA,NA,NA,"k: 18"
"37","KNN.pc.uni.12","8","9","6","9","0.516129032258065","0.390182332805237",NA,NA,NA,"k: 11"
"38","KNN.pc.uni.12","6","11","5","11","0.428571428571429","0.311503592727462",NA,NA,NA,"k: 5"
"39","KNN.pc.uni.12","8","9","5","9","0.533333333333333","0.42125090751793",NA,NA,NA,"k: 8"
"40","KNN.pc.uni.12","11","5","5","5","0.6875","0.598214285714286",NA,NA,NA,"k: 3"
"41","KNN.pc.uni.14","10","7","6","7","0.606060606060606","0.493525930991161",NA,NA,NA,"k: 11"
"42","KNN.pc.uni.14","9","8","6","8","0.5625","0.443821460259496",NA,NA,NA,"k: 9"
