"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"1","KNN.bc","47","27","27","27","0.635135135135135","0.21975051975052",NA,NA,NA,"k: 7"
"2","KNN.bc","44","29","31","29","0.594594594594595","0.118644398200393",NA,NA,NA,"k: 16"
"3","KNN.bc","50","23","25","23","0.675675675675676","0.295001894259567",NA,NA,NA,"k: 10"
"4","KNN.bc","50","23","19","23","0.704225352112676","0.382347857364664",NA,NA,NA,"k: 11"
"5","KNN.bc","42","31","22","31","0.613138686131387","0.225915172560225",NA,NA,NA,"k: 7"
"6","KNN.bc","48","25","20","25","0.680851063829787","0.333848991607698",NA,NA,NA,"k: 15"
"7","KNN.bc","45","28","24","28","0.633802816901408","0.228635448307128",NA,NA,NA,"k: 16"
"8","KNN.bc","51","22","25","22","0.684563758389262","0.296784578553368",NA,NA,NA,"k: 19"
"9","KNN.bc","57","16","16","16","0.780821917808219","0.522757401679187",NA,NA,NA,"k: 20"
"10","KNN.bc","41","32","27","32","0.581560283687943","0.118555879841088",NA,NA,NA,"k: 20"
"11","KNN.l2","54","20","38","20","0.650602409638554","0.153052363940343",NA,NA,NA,"k: 12"
"12","KNN.l2","52","21","29","21","0.675324675324675","0.263060840356185",NA,NA,NA,"k: 6"
"13","KNN.l2","49","24","32","24","0.636363636363636","0.173780901969404",NA,NA,NA,"k: 4"
"14","KNN.l2","50","23","38","23","0.62111801242236","0.0853088692224562",NA,NA,NA,"k: 18"
"15","KNN.l2","53","20","37","20","0.650306748466258","0.146213947828267",NA,NA,NA,"k: 13"
"16","KNN.l2","54","19","29","19","0.692307692307692","0.278522355956748",NA,NA,NA,"k: 5"
"17","KNN.l2","47","26","31","26","0.622516556291391","0.145123914587167",NA,NA,NA,"k: 16"
"18","KNN.l2","54","19","40","19","0.646706586826347","0.102477999547572",NA,NA,NA,"k: 7"
"19","KNN.l2","45","28","23","28","0.638297872340425","0.244661101369493",NA,NA,NA,"k: 5"
"20","KNN.l2","45","28","35","28","0.588235294117647","0.0433196939769004",NA,NA,NA,"k: 20"
"21","KNN.pc.uni.10","47","27","26","27","0.639455782312925","0.234939840138704",NA,NA,NA,"k: 18"
"22","KNN.pc.uni.10","44","29","26","29","0.615384615384615","0.19611230437187",NA,NA,NA,"k: 10"
"23","KNN.pc.uni.10","41","32","23","32","0.598540145985401","0.202268835616438",NA,NA,NA,"k: 13"
"24","KNN.pc.uni.10","43","30","20","30","0.632352941176471","0.271580778430093",NA,NA,NA,"k: 6"
"25","KNN.pc.uni.10","40","33","20","33","0.601503759398496","0.231468415724764",NA,NA,NA,"k: 14"
"26","KNN.pc.uni.10","43","30","21","30","0.627737226277372","0.249835111612947",NA,NA,NA,"k: 18"
"27","KNN.pc.uni.10","40","33","18","33","0.610687022900763","0.259347410610234",NA,NA,NA,"k: 20"
"28","KNN.pc.uni.10","51","22","22","22","0.698630136986301","0.343791427308882",NA,NA,NA,"k: 1"
"29","KNN.pc.uni.10","42","31","23","31","0.608695652173913","0.203835000893766",NA,NA,NA,"k: 20"
"30","KNN.pc.uni.10","39","34","26","34","0.565217391304348","0.107631032166359",NA,NA,NA,"k: 9"
"31","KNN.pc.uni.12","47","27","25","27","0.643835616438356","0.250155962701313",NA,NA,NA,"k: 18"
"32","KNN.pc.uni.12","44","29","25","29","0.619718309859155","0.211662165823265",NA,NA,NA,"k: 10"
"33","KNN.pc.uni.12","43","30","23","30","0.618705035971223","0.229322761438706",NA,NA,NA,"k: 13"
"34","KNN.pc.uni.12","46","27","22","27","0.652482269503546","0.280170171629079",NA,NA,NA,"k: 6"
"35","KNN.pc.uni.12","41","32","23","32","0.598540145985401","0.196372419225427",NA,NA,NA,"k: 14"
"36","KNN.pc.uni.12","46","27","22","27","0.652482269503546","0.274390398115561",NA,NA,NA,"k: 18"
"37","KNN.pc.uni.12","40","33","21","33","0.597014925373134","0.209513458926106",NA,NA,NA,"k: 20"
"38","KNN.pc.uni.12","46","27","24","27","0.643356643356643","0.242398379441235",NA,NA,NA,"k: 1"
"39","KNN.pc.uni.12","45","28","25","28","0.629370629370629","0.212649487418902",NA,NA,NA,"k: 20"
"40","KNN.pc.uni.12","36","37","25","37","0.537313432835821","0.0833146193577364",NA,NA,NA,"k: 9"
"41","KNN.pc.uni.14","43","31","24","31","0.609929078014184","0.211542677172314",NA,NA,NA,"k: 18"
"42","KNN.pc.uni.14","45","28","25","28","0.629370629370629","0.225379609054818",NA,NA,NA,"k: 10"
"43","KNN.pc.uni.14","42","31","24","31","0.60431654676259","0.200042968039728",NA,NA,NA,"k: 13"
"44","KNN.pc.uni.14","42","31","23","31","0.608695652173913","0.20989829779565",NA,NA,NA,"k: 6"
"45","KNN.pc.uni.14","42","31","21","31","0.617647058823529","0.242009132420091",NA,NA,NA,"k: 14"
"46","KNN.pc.uni.14","43","30","16","30","0.651515151515151","0.332523035656654",NA,NA,NA,"k: 18"
"47","KNN.pc.uni.14","39","34","18","34","0.6","0.246108758378238",NA,NA,NA,"k: 20"
"48","KNN.pc.uni.14","48","25","18","25","0.690647482014388","0.366081035728754",NA,NA,NA,"k: 1"
"49","KNN.pc.uni.14","41","32","21","32","0.607407407407408","0.222934158197084",NA,NA,NA,"k: 20"
"50","KNN.pc.uni.14","44","29","23","29","0.628571428571429","0.224783749661391",NA,NA,NA,"k: 9"
"51","KNN.pc.uni.16","44","30","26","30","0.611111111111111","0.19419128930179",NA,NA,NA,"k: 18"
"52","KNN.pc.uni.16","44","29","28","29","0.606896551724138","0.165098435085761",NA,NA,NA,"k: 10"
"53","KNN.pc.uni.16","43","30","22","30","0.623188405797101","0.24508135571021",NA,NA,NA,"k: 13"
"54","KNN.pc.uni.16","41","32","29","32","0.573426573426573","0.101095825795926",NA,NA,NA,"k: 6"
"55","KNN.pc.uni.16","38","35","23","35","0.567164179104478","0.155875833162078",NA,NA,NA,"k: 14"
"56","KNN.pc.uni.16","47","26","21","26","0.666666666666667","0.30411969486163",NA,NA,NA,"k: 18"
"57","KNN.pc.uni.16","39","34","19","34","0.595419847328244","0.229320051748844",NA,NA,NA,"k: 20"
"58","KNN.pc.uni.16","48","25","18","25","0.690647482014388","0.366081035728754",NA,NA,NA,"k: 1"
"59","KNN.pc.uni.16","42","31","21","31","0.617647058823529","0.236371805803648",NA,NA,NA,"k: 20"
"60","KNN.pc.uni.16","43","30","27","30","0.601398601398601","0.145976262889757",NA,NA,NA,"k: 9"
"61","KNN.pc.uni.18","43","31","24","31","0.609929078014184","0.211542677172314",NA,NA,NA,"k: 18"
"62","KNN.pc.uni.18","44","29","27","29","0.611111111111111","0.180594346146977",NA,NA,NA,"k: 10"
"63","KNN.pc.uni.18","41","32","21","32","0.607407407407408","0.234070593917955",NA,NA,NA,"k: 13"
"64","KNN.pc.uni.18","41","32","23","32","0.598540145985401","0.196372419225427",NA,NA,NA,"k: 6"
"65","KNN.pc.uni.18","42","31","27","31","0.591549295774648","0.146389565355161",NA,NA,NA,"k: 14"
"66","KNN.pc.uni.18","45","28","25","28","0.629370629370629","0.212649487418902",NA,NA,NA,"k: 18"
"67","KNN.pc.uni.18","39","34","20","34","0.590909090909091","0.212654918664268",NA,NA,NA,"k: 20"
"68","KNN.pc.uni.18","46","27","21","27","0.657142857142857","0.290466240059732",NA,NA,NA,"k: 1"
"69","KNN.pc.uni.18","43","30","25","30","0.609929078014184","0.185202507877357",NA,NA,NA,"k: 20"
"70","KNN.pc.uni.18","38","35","25","35","0.558823529411765","0.110464090870667",NA,NA,NA,"k: 9"
"71","KNN.pc.uni.2","43","31","33","31","0.573333333333333","0.0735571842720191",NA,NA,NA,"k: 18"
"72","KNN.pc.uni.2","45","28","38","28","0.576923076923077","0.0231642648655513",NA,NA,NA,"k: 10"
"73","KNN.pc.uni.2","44","29","33","29","0.586666666666667","0.0876036102622774",NA,NA,NA,"k: 13"
"74","KNN.pc.uni.2","45","28","28","28","0.616438356164384","0.171993911719939",NA,NA,NA,"k: 6"
"75","KNN.pc.uni.2","49","24","37","24","0.616352201257862","0.0868003291609692",NA,NA,NA,"k: 14"
"76","KNN.pc.uni.2","47","26","33","26","0.61437908496732","0.113163863209632",NA,NA,NA,"k: 18"
"77","KNN.pc.uni.2","47","26","21","26","0.666666666666667","0.30411969486163",NA,NA,NA,"k: 20"
"78","KNN.pc.uni.2","52","21","33","21","0.658227848101266","0.185825739130752",NA,NA,NA,"k: 1"
"79","KNN.pc.uni.2","46","27","27","27","0.63013698630137","0.194653115333628",NA,NA,NA,"k: 20"
"80","KNN.pc.uni.2","41","32","28","32","0.577464788732394","0.102260668815023",NA,NA,NA,"k: 9"
"81","KNN.pc.uni.20","44","30","23","30","0.624113475177305","0.240398842164415",NA,NA,NA,"k: 18"
"82","KNN.pc.uni.20","45","28","28","28","0.616438356164384","0.178938356164384",NA,NA,NA,"k: 10"
"83","KNN.pc.uni.20","37","36","23","36","0.556390977443609","0.148301934817467",NA,NA,NA,"k: 13"
"84","KNN.pc.uni.20","41","32","22","32","0.602941176470588","0.212437486410089",NA,NA,NA,"k: 6"
"85","KNN.pc.uni.20","41","32","25","32","0.589928057553957","0.164443424792514",NA,NA,NA,"k: 14"
"86","KNN.pc.uni.20","38","35","20","35","0.580152671755725","0.199292692887453",NA,NA,NA,"k: 18"
"87","KNN.pc.uni.20","37","36","15","36","0.592","0.271282132243819",NA,NA,NA,"k: 20"
"88","KNN.pc.uni.20","47","26","20","26","0.671428571428571","0.3201955368058",NA,NA,NA,"k: 1"
"89","KNN.pc.uni.20","39","34","23","34","0.577777777777778","0.163278833406982",NA,NA,NA,"k: 20"
"90","KNN.pc.uni.20","34","39","26","39","0.511278195488722","0.0395817357584764",NA,NA,NA,"k: 9"
"91","KNN.pc.uni.4","44","30","30","30","0.594594594594595","0.133056133056133",NA,NA,NA,"k: 18"
"92","KNN.pc.uni.4","44","29","32","29","0.590604026845638","0.103137857781489",NA,NA,NA,"k: 10"
"93","KNN.pc.uni.4","40","33","23","33","0.588235294117647","0.188772338890984",NA,NA,NA,"k: 13"
"94","KNN.pc.uni.4","38","35","25","35","0.558823529411765","0.123722548380083",NA,NA,NA,"k: 6"
"95","KNN.pc.uni.4","47","26","28","26","0.635135135135135","0.199913481132343",NA,NA,NA,"k: 14"
"96","KNN.pc.uni.4","47","26","28","26","0.635135135135135","0.192777223467296",NA,NA,NA,"k: 18"
"97","KNN.pc.uni.4","44","29","21","29","0.63768115942029","0.263332784938433",NA,NA,NA,"k: 20"
"98","KNN.pc.uni.4","44","29","27","29","0.611111111111111","0.166924253743161",NA,NA,NA,"k: 1"
"99","KNN.pc.uni.4","46","27","25","27","0.638888888888889","0.22646130593689",NA,NA,NA,"k: 20"
"100","KNN.pc.uni.4","36","37","26","37","0.533333333333333","0.0668386737116456",NA,NA,NA,"k: 9"
"101","KNN.pc.uni.6","46","28","26","28","0.63013698630137","0.221299797709211",NA,NA,NA,"k: 18"
"102","KNN.pc.uni.6","45","28","31","28","0.604026845637584","0.132575121356622",NA,NA,NA,"k: 10"
"103","KNN.pc.uni.6","41","32","24","32","0.594202898550725","0.186484242739357",NA,NA,NA,"k: 13"
"104","KNN.pc.uni.6","45","28","24","28","0.633802816901408","0.234873924858725",NA,NA,NA,"k: 6"
"105","KNN.pc.uni.6","47","26","25","26","0.648275862068966","0.246768880796554",NA,NA,NA,"k: 14"
"106","KNN.pc.uni.6","47","26","27","26","0.639455782312925","0.208628502394211",NA,NA,NA,"k: 18"
"107","KNN.pc.uni.6","47","26","21","26","0.666666666666667","0.30411969486163",NA,NA,NA,"k: 20"
"108","KNN.pc.uni.6","49","24","21","24","0.685314685314685","0.331645055508236",NA,NA,NA,"k: 1"
"109","KNN.pc.uni.6","44","29","26","29","0.615384615384615","0.182900595396568",NA,NA,NA,"k: 20"
"110","KNN.pc.uni.6","42","31","31","31","0.575342465753425","0.0671457444419492",NA,NA,NA,"k: 9"
"111","KNN.pc.uni.8","47","27","27","27","0.635135135135135","0.21975051975052",NA,NA,NA,"k: 18"
"112","KNN.pc.uni.8","42","31","28","31","0.587412587412587","0.137577695005974",NA,NA,NA,"k: 10"
"113","KNN.pc.uni.8","43","30","19","30","0.637037037037037","0.29285642593768",NA,NA,NA,"k: 13"
"114","KNN.pc.uni.8","45","28","22","28","0.642857142857143","0.266537445661471",NA,NA,NA,"k: 6"
"115","KNN.pc.uni.8","40","33","24","33","0.583941605839416","0.166829665890628",NA,NA,NA,"k: 14"
"116","KNN.pc.uni.8","45","28","22","28","0.642857142857143","0.260736943313664",NA,NA,NA,"k: 18"
"117","KNN.pc.uni.8","45","28","19","28","0.656934306569343","0.309372163806677",NA,NA,NA,"k: 20"
"118","KNN.pc.uni.8","50","23","24","23","0.680272108843537","0.298230351248565",NA,NA,NA,"k: 1"
"119","KNN.pc.uni.8","45","28","21","28","0.647482014388489","0.276873563123372",NA,NA,NA,"k: 20"
"120","KNN.pc.uni.8","40","33","27","33","0.571428571428571","0.104899083175316",NA,NA,NA,"k: 9"
"121","KNN.unifrac","37","37","26","37","0.54014598540146","0.100229477719097",NA,NA,NA,"k: 18"
"122","KNN.unifrac","39","34","27","34","0.561151079136691","0.112203587842796",NA,NA,NA,"k: 10"
"123","KNN.unifrac","45","28","18","28","0.661764705882353","0.3355476534657",NA,NA,NA,"k: 13"
"124","KNN.unifrac","45","28","23","28","0.638297872340425","0.250678574615492",NA,NA,NA,"k: 6"
"125","KNN.unifrac","40","33","26","33","0.575539568345324","0.134939063616021",NA,NA,NA,"k: 14"
"126","KNN.unifrac","45","28","18","28","0.661764705882353","0.325756102115952",NA,NA,NA,"k: 18"
"127","KNN.unifrac","39","34","17","34","0.604651162790698","0.263033842220656",NA,NA,NA,"k: 20"
"128","KNN.unifrac","36","37","30","37","0.517985611510791","0.00925114530722484",NA,NA,NA,"k: 1"
"129","KNN.unifrac","41","32","23","32","0.598540145985401","0.190298059419217",NA,NA,NA,"k: 20"
"130","KNN.unifrac","33","40","24","40","0.507692307692308","0.0590379636574098",NA,NA,NA,"k: 9"
"131","RF.bc","51","23","31","23","0.653846153846154","0.215332136714899",NA,NA,NA,""
"132","RF.bc","52","21","29","21","0.675324675324675","0.263060840356185",NA,NA,NA,""
"133","RF.bc","51","22","21","22","0.703448275862069","0.370188330483747",NA,NA,NA,""
"134","RF.bc","50","23","29","23","0.657894736842105","0.226995706721415",NA,NA,NA,""
"135","RF.bc","47","26","29","26","0.630872483221476","0.184301266860095",NA,NA,NA,""
"136","RF.bc","53","20","24","20","0.706666666666667","0.341199766617581",NA,NA,NA,""
"137","RF.bc","49","24","15","24","0.715328467153285","0.428446268194136",NA,NA,NA,""
"138","RF.bc","54","19","31","19","0.683544303797468","0.247387640437873",NA,NA,NA,""
"139","RF.bc","53","20","23","20","0.711409395973154","0.356718637049561",NA,NA,NA,""
"140","RF.bc","51","22","33","22","0.64968152866242","0.16232526456023",NA,NA,NA,""
"141","RF.l2","63","11","29","11","0.759036144578313","0.427362546303337",NA,NA,NA,""
"142","RF.l2","57","16","31","16","0.708074534161491","0.308573751330688",NA,NA,NA,""
"143","RF.l2","53","20","26","20","0.697368421052632","0.322902671411159",NA,NA,NA,""
"144","RF.l2","48","25","29","25","0.64","0.198428575148825",NA,NA,NA,""
"145","RF.l2","55","18","31","18","0.691823899371069","0.270295325521982",NA,NA,NA,""
"146","RF.l2","59","14","25","14","0.751592356687898","0.416275124212358",NA,NA,NA,""
"147","RF.l2","50","23","20","23","0.699300699300699","0.361393947530569",NA,NA,NA,""
"148","RF.l2","54","19","33","19","0.675","0.215987228865269",NA,NA,NA,""
"149","RF.l2","55","18","23","18","0.728476821192053","0.385882482565878",NA,NA,NA,""
"150","RF.l2","52","21","30","21","0.670967741935484","0.225359848599776",NA,NA,NA,""
"151","RF.otu","66","8","28","8","0.785714285714286","0.491721072208058",NA,NA,NA,""
"152","RF.otu","60","13","29","13","0.740740740740741","0.385672114019435",NA,NA,NA,""
"153","RF.otu","54","19","31","19","0.683544303797468","0.262529367322968",NA,NA,NA,""
"154","RF.otu","56","17","26","17","0.72258064516129","0.361203619442921",NA,NA,NA,""
"155","RF.otu","59","14","27","14","0.742138364779874","0.39262532309599",NA,NA,NA,""
"156","RF.otu","66","7","31","7","0.776470588235294","0.447794510451981",NA,NA,NA,""
"157","RF.otu","57","16","25","16","0.735483870967742","0.385336303505129",NA,NA,NA,""
"158","RF.otu","60","13","30","13","0.736196319018405","0.357360580059261",NA,NA,NA,""
"159","RF.otu","63","10","24","10","0.7875","0.495459521805952",NA,NA,NA,""
"160","RF.otu","59","14","34","14","0.710843373493976","0.271077469532544",NA,NA,NA,""
"161","RF.pc.uni.10","49","25","31","25","0.636363636363636","0.186996796485309",NA,NA,NA,""
"162","RF.pc.uni.10","53","20","30","20","0.67948717948718","0.262674022343327",NA,NA,NA,""
"163","RF.pc.uni.10","45","28","21","28","0.647482014388489","0.28788234823666",NA,NA,NA,""
"164","RF.pc.uni.10","46","27","27","27","0.63013698630137","0.201565557729941",NA,NA,NA,""
"165","RF.pc.uni.10","44","29","28","29","0.606896551724138","0.158140620792158",NA,NA,NA,""
"166","RF.pc.uni.10","48","25","28","25","0.644295302013423","0.20688349080908",NA,NA,NA,""
"167","RF.pc.uni.10","49","24","22","24","0.680555555555556","0.315766884227485",NA,NA,NA,""
"168","RF.pc.uni.10","50","23","30","23","0.65359477124183","0.203919040635179",NA,NA,NA,""
"169","RF.pc.uni.10","51","22","29","22","0.666666666666667","0.234170766443694",NA,NA,NA,""
"170","RF.pc.uni.10","41","32","30","32","0.569444444444444","0.0696842439366682",NA,NA,NA,""
"171","RF.pc.uni.12","52","22","35","22","0.645962732919255","0.169353140626821",NA,NA,NA,""
"172","RF.pc.uni.12","53","20","26","20","0.697368421052632","0.322902671411159",NA,NA,NA,""
"173","RF.pc.uni.12","46","27","22","27","0.652482269503546","0.285775961525256",NA,NA,NA,""
"174","RF.pc.uni.12","45","28","27","28","0.620689655172414","0.187683374126956",NA,NA,NA,""
"175","RF.pc.uni.12","44","29","27","29","0.611111111111111","0.173866118442933",NA,NA,NA,""
"176","RF.pc.uni.12","48","25","29","25","0.64","0.191062972310627",NA,NA,NA,""
"177","RF.pc.uni.12","51","22","25","22","0.684563758389262","0.296784578553368",NA,NA,NA,""
"178","RF.pc.uni.12","50","23","31","23","0.649350649350649","0.188117324704242",NA,NA,NA,""
"179","RF.pc.uni.12","51","22","29","22","0.666666666666667","0.234170766443694",NA,NA,NA,""
"180","RF.pc.uni.12","40","33","30","33","0.559440559440559","0.0559724934393238",NA,NA,NA,""
"181","RF.pc.uni.14","48","26","33","26","0.619354838709677","0.142626639424032",NA,NA,NA,""
"182","RF.pc.uni.14","54","19","28","19","0.696774193548387","0.307606146186687",NA,NA,NA,""
"183","RF.pc.uni.14","49","24","22","24","0.680555555555556","0.326993313141863",NA,NA,NA,""
"184","RF.pc.uni.14","47","26","26","26","0.643835616438356","0.231137203739943",NA,NA,NA,""
"185","RF.pc.uni.14","45","28","25","28","0.629370629370629","0.219113270501899",NA,NA,NA,""
"186","RF.pc.uni.14","49","24","30","24","0.644736842105263","0.189509514191263",NA,NA,NA,""
"187","RF.pc.uni.14","49","24","24","24","0.671232876712329","0.28413610251878",NA,NA,NA,""
"188","RF.pc.uni.14","51","22","27","22","0.675496688741722","0.265503198576523",NA,NA,NA,""
"189","RF.pc.uni.14","51","22","28","22","0.671052631578947","0.249848628379519",NA,NA,NA,""
"190","RF.pc.uni.14","40","33","28","33","0.567375886524823","0.0885813743718315",NA,NA,NA,""
"191","RF.pc.uni.16","46","28","33","28","0.601307189542484","0.114767480980294",NA,NA,NA,""
"192","RF.pc.uni.16","53","20","27","20","0.69281045751634","0.307864944083216",NA,NA,NA,""
"193","RF.pc.uni.16","50","23","20","23","0.699300699300699","0.371716132469557",NA,NA,NA,""
"194","RF.pc.uni.16","48","25","27","25","0.648648648648649","0.229562590656878",NA,NA,NA,""
"195","RF.pc.uni.16","47","26","28","26","0.635135135135135","0.199913481132343",NA,NA,NA,""
"196","RF.pc.uni.16","49","24","27","24","0.657718120805369","0.236850520057176",NA,NA,NA,""
"197","RF.pc.uni.16","49","24","23","24","0.675862068965517","0.299933972070176",NA,NA,NA,""
"198","RF.pc.uni.16","49","24","29","24","0.649006622516556","0.205313556581845",NA,NA,NA,""
"199","RF.pc.uni.16","52","21","28","21","0.679738562091503","0.26442249225221",NA,NA,NA,""
"200","RF.pc.uni.16","42","31","28","31","0.587412587412587","0.115975006406279",NA,NA,NA,""
"201","RF.pc.uni.18","44","30","33","30","0.582781456953642","0.0872293299071635",NA,NA,NA,""
"202","RF.pc.uni.18","54","19","27","19","0.701298701298701","0.322580799280706",NA,NA,NA,""
"203","RF.pc.uni.18","50","23","22","23","0.689655172413793","0.34088977399832",NA,NA,NA,""
"204","RF.pc.uni.18","47","26","28","26","0.635135135135135","0.199913481132343",NA,NA,NA,""
"205","RF.pc.uni.18","45","28","28","28","0.616438356164384","0.171993911719939",NA,NA,NA,""
"206","RF.pc.uni.18","50","23","27","23","0.666666666666667","0.251117690033409",NA,NA,NA,""
"207","RF.pc.uni.18","49","24","24","24","0.671232876712329","0.28413610251878",NA,NA,NA,""
"208","RF.pc.uni.18","48","25","27","25","0.648648648648649","0.222690930557048",NA,NA,NA,""
"209","RF.pc.uni.18","51","22","28","22","0.671052631578947","0.249848628379519",NA,NA,NA,""
"210","RF.pc.uni.18","39","34","28","34","0.557142857142857","0.0749279165537969",NA,NA,NA,""
"211","RF.pc.uni.2","40","34","37","34","0.529801324503311","-0.02879819982581",NA,NA,NA,""
"212","RF.pc.uni.2","50","23","38","23","0.62111801242236","0.0949114931890779",NA,NA,NA,""
"213","RF.pc.uni.2","44","29","32","29","0.590604026845638","0.103137857781489",NA,NA,NA,""
"214","RF.pc.uni.2","39","34","32","34","0.541666666666667","0.0262644198896315",NA,NA,NA,""
"215","RF.pc.uni.2","46","27","37","27","0.58974358974359","0.0437983288820113",NA,NA,NA,""
"216","RF.pc.uni.2","48","25","35","25","0.615384615384615","0.0952541932232258",NA,NA,NA,""
"217","RF.pc.uni.2","48","25","23","25","0.666666666666667","0.28599835813062",NA,NA,NA,""
"218","RF.pc.uni.2","49","24","37","24","0.616352201257862","0.0771658883828328",NA,NA,NA,""
"219","RF.pc.uni.2","43","30","32","30","0.581081081081081","0.0731223951082845",NA,NA,NA,""
"220","RF.pc.uni.2","31","42","32","42","0.455882352941176","-0.0997089664045574",NA,NA,NA,""
"221","RF.pc.uni.20","46","28","30","28","0.613333333333333","0.160450515267577",NA,NA,NA,""
"222","RF.pc.uni.20","54","19","28","19","0.696774193548387","0.307606146186687",NA,NA,NA,""
"223","RF.pc.uni.20","48","25","20","25","0.680851063829787","0.344298094154494",NA,NA,NA,""
"224","RF.pc.uni.20","49","24","27","24","0.657718120805369","0.243696935800789",NA,NA,NA,""
"225","RF.pc.uni.20","46","27","26","27","0.63448275862069","0.217226127461755",NA,NA,NA,""
"226","RF.pc.uni.20","48","25","29","25","0.64","0.191062972310627",NA,NA,NA,""
"227","RF.pc.uni.20","50","23","22","23","0.689655172413793","0.32972873750761",NA,NA,NA,""
"228","RF.pc.uni.20","50","23","31","23","0.649350649350649","0.188117324704242",NA,NA,NA,""
"229","RF.pc.uni.20","52","21","28","21","0.679738562091503","0.26442249225221",NA,NA,NA,""
"230","RF.pc.uni.20","39","34","28","34","0.557142857142857","0.0749279165537969",NA,NA,NA,""
"231","RF.pc.uni.4","51","23","34","23","0.641509433962264","0.170046578665491",NA,NA,NA,""
"232","RF.pc.uni.4","55","18","33","18","0.683229813664596","0.247527391861656",NA,NA,NA,""
"233","RF.pc.uni.4","50","23","28","23","0.662251655629139","0.249306217652756",NA,NA,NA,""
"234","RF.pc.uni.4","46","27","29","27","0.621621621621622","0.170264371607808",NA,NA,NA,""
"235","RF.pc.uni.4","47","26","33","26","0.61437908496732","0.121609741675321",NA,NA,NA,""
"236","RF.pc.uni.4","46","27","28","27","0.625850340136054","0.17876121944276",NA,NA,NA,""
"237","RF.pc.uni.4","51","22","23","22","0.693877551020408","0.328097634200016",NA,NA,NA,""
"238","RF.pc.uni.4","47","26","31","26","0.622516556291391","0.145123914587167",NA,NA,NA,""
"239","RF.pc.uni.4","43","30","29","30","0.593103448275862","0.121165379445568",NA,NA,NA,""
"240","RF.pc.uni.4","38","35","31","35","0.535211267605634","0.012307082680145",NA,NA,NA,""
"241","RF.pc.uni.6","49","25","28","25","0.649006622516556","0.23226374207338",NA,NA,NA,""
"242","RF.pc.uni.6","52","21","33","21","0.658227848101266","0.202233435515346",NA,NA,NA,""
