"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"1","KNN.bc","10","0","0","0","1","1",NA,NA,NA,"k: 5"
"2","KNN.bc","10","0","0","0","1","1",NA,NA,NA,"k: 5"
"3","KNN.bc","10","0","1","0","0.952380952380952","0.934946990008457",NA,NA,NA,"k: 7"
"4","KNN.bc","9","0","0","0","1","1",NA,NA,NA,"k: 6"
"5","KNN.bc","7","2","0","2","0.875","0.849836585598797",NA,NA,NA,"k: 2"
"6","KNN.bc","9","0","0","0","1","1",NA,NA,NA,"k: 5"
"7","KNN.bc","8","1","0","1","0.941176470588235","0.924500327042049",NA,NA,NA,"k: 5"
"8","KNN.bc","8","0","1","0","0.941176470588235","0.923760430703401",NA,NA,NA,"k: 5"
"9","KNN.bc","6","2","0","2","0.857142857142857","0.833333333333333",NA,NA,NA,"k: 6"
"10","KNN.bc","8","0","0","0","1","1",NA,NA,NA,"k: 7"
"11","KNN.bc","10","0","0","0","1","1",NA,NA,NA,"k: 7"
"12","KNN.bc","10","0","0","0","1","1",NA,NA,NA,"k: 6"
"13","KNN.bc","10","0","1","0","0.952380952380952","0.934946990008457",NA,NA,NA,"k: 7"
"14","KNN.bc","9","0","0","0","1","1",NA,NA,NA,"k: 4"
"15","KNN.bc","8","1","0","1","0.941176470588235","0.925184888651615",NA,NA,NA,"k: 2"
"16","KNN.bc","8","1","0","1","0.941176470588235","0.925184888651615",NA,NA,NA,"k: 2"
"17","KNN.bc","8","1","0","1","0.941176470588235","0.924500327042049",NA,NA,NA,"k: 3"
"18","KNN.bc","8","0","1","0","0.941176470588235","0.923760430703401",NA,NA,NA,"k: 4"
"19","KNN.bc","7","1","0","1","0.933333333333333","0.917249232131679",NA,NA,NA,"k: 7"
"20","KNN.bc","8","0","0","0","1","1",NA,NA,NA,"k: 8"
"21","KNN.l2","9","1","1","1","0.9","0.861538461538462",NA,NA,NA,"k: 3"
"22","KNN.l2","10","0","0","0","1","1",NA,NA,NA,"k: 5"
"23","KNN.l2","10","0","1","0","0.952380952380952","0.934946990008457",NA,NA,NA,"k: 2"
"24","KNN.l2","9","0","3","0","0.857142857142857","0.814531484021053",NA,NA,NA,"k: 2"
"25","KNN.l2","8","1","1","1","0.888888888888889","0.85042735042735",NA,NA,NA,"k: 1"
"26","KNN.l2","9","0","1","0","0.947368421052632","0.930260509419063",NA,NA,NA,"k: 7"
"27","KNN.l2","9","0","2","0","0.9","0.867598566577465",NA,NA,NA,"k: 13"
"28","KNN.l2","8","0","3","0","0.842105263157895","0.8",NA,NA,NA,"k: 5"
"29","KNN.l2","7","1","0","1","0.933333333333333","0.917249232131679",NA,NA,NA,"k: 4"
"30","KNN.l2","7","1","0","1","0.933333333333333","0.917249232131679",NA,NA,NA,"k: 7"
"31","KNN.l2","10","0","3","0","0.869565217391304","0.824908099597201",NA,NA,NA,"k: 1"
"32","KNN.l2","10","0","2","0","0.909090909090909","0.877058019307029",NA,NA,NA,"k: 15"
"33","KNN.l2","10","0","1","0","0.952380952380952","0.934946990008457",NA,NA,NA,"k: 3"
"34","KNN.l2","9","0","3","0","0.857142857142857","0.814531484021053",NA,NA,NA,"k: 3"
"35","KNN.l2","8","1","1","1","0.888888888888889","0.85042735042735",NA,NA,NA,"k: 1"
"36","KNN.l2","9","0","1","0","0.947368421052632","0.930260509419063",NA,NA,NA,"k: 9"
"37","KNN.l2","8","1","1","1","0.888888888888889","0.848888888888889",NA,NA,NA,"k: 8"
"38","KNN.l2","8","0","4","0","0.8","0.748331477354788",NA,NA,NA,"k: 3"
"39","KNN.l2","6","2","0","2","0.857142857142857","0.833333333333333",NA,NA,NA,"k: 2"
"40","KNN.l2","7","1","0","1","0.933333333333333","0.917249232131679",NA,NA,NA,"k: 1"
"41","KNN.pc.uni.10","9","1","0","1","0.947368421052632","0.930949336251263",NA,NA,NA,"k: 5"
"42","KNN.pc.uni.10","10","0","0","0","1","1",NA,NA,NA,"k: 7"
"43","KNN.pc.uni.10","10","0","2","0","0.909090909090909","0.877058019307029",NA,NA,NA,"k: 6"
"44","KNN.pc.uni.10","9","0","0","0","1","1",NA,NA,NA,"k: 3"
"45","KNN.pc.uni.10","8","1","0","1","0.941176470588235","0.925184888651615",NA,NA,NA,"k: 5"
"46","KNN.pc.uni.10","9","0","0","0","1","1",NA,NA,NA,"k: 3"
"47","KNN.pc.uni.10","8","1","1","1","0.888888888888889","0.848888888888889",NA,NA,NA,"k: 4"
"48","KNN.pc.uni.10","8","0","2","0","0.888888888888889","0.857904423581089",NA,NA,NA,"k: 3"
"49","KNN.pc.uni.10","8","0","1","0","0.941176470588235","0.923760430703401",NA,NA,NA,"k: 3"
"50","KNN.pc.uni.10","8","0","0","0","1","1",NA,NA,NA,"k: 8"
"51","KNN.pc.uni.10","10","0","0","0","1","1",NA,NA,NA,"k: 3"
"52","KNN.pc.uni.10","10","0","0","0","1","1",NA,NA,NA,"k: 3"
"53","KNN.pc.uni.10","10","0","2","0","0.909090909090909","0.877058019307029",NA,NA,NA,"k: 3"
"54","KNN.pc.uni.10","9","0","0","0","1","1",NA,NA,NA,"k: 5"
"55","KNN.pc.uni.10","8","1","1","1","0.888888888888889","0.85042735042735",NA,NA,NA,"k: 5"
"56","KNN.pc.uni.10","9","0","0","0","1","1",NA,NA,NA,"k: 5"
"57","KNN.pc.uni.10","7","2","2","2","0.777777777777778","0.697777777777778",NA,NA,NA,"k: 3"
"58","KNN.pc.uni.10","8","0","2","0","0.888888888888889","0.857904423581089",NA,NA,NA,"k: 3"
"59","KNN.pc.uni.10","8","0","0","0","1","1",NA,NA,NA,"k: 3"
"60","KNN.pc.uni.10","8","0","0","0","1","1",NA,NA,NA,"k: 6"
"61","KNN.pc.uni.12","10","0","0","0","1","1",NA,NA,NA,"k: 5"
"62","KNN.pc.uni.12","10","0","0","0","1","1",NA,NA,NA,"k: 7"
"63","KNN.pc.uni.12","10","0","2","0","0.909090909090909","0.877058019307029",NA,NA,NA,"k: 6"
"64","KNN.pc.uni.12","9","0","0","0","1","1",NA,NA,NA,"k: 3"
"65","KNN.pc.uni.12","8","1","0","1","0.941176470588235","0.925184888651615",NA,NA,NA,"k: 5"
"66","KNN.pc.uni.12","9","0","0","0","1","1",NA,NA,NA,"k: 3"
"67","KNN.pc.uni.12","7","2","1","2","0.823529411764706","0.7673352714449",NA,NA,NA,"k: 4"
"68","KNN.pc.uni.12","8","0","0","0","1","1",NA,NA,NA,"k: 3"
"69","KNN.pc.uni.12","8","0","0","0","1","1",NA,NA,NA,"k: 3"
"70","KNN.pc.uni.12","7","1","0","1","0.933333333333333","0.917249232131679",NA,NA,NA,"k: 8"
"71","KNN.pc.uni.12","10","0","0","0","1","1",NA,NA,NA,"k: 3"
"72","KNN.pc.uni.12","10","0","0","0","1","1",NA,NA,NA,"k: 3"
"73","KNN.pc.uni.12","10","0","1","0","0.952380952380952","0.934946990008457",NA,NA,NA,"k: 3"
"74","KNN.pc.uni.12","9","0","0","0","1","1",NA,NA,NA,"k: 5"
"75","KNN.pc.uni.12","8","1","1","1","0.888888888888889","0.85042735042735",NA,NA,NA,"k: 5"
"76","KNN.pc.uni.12","9","0","0","0","1","1",NA,NA,NA,"k: 5"
"77","KNN.pc.uni.12","7","2","1","2","0.823529411764706","0.7673352714449",NA,NA,NA,"k: 3"
"78","KNN.pc.uni.12","8","0","2","0","0.888888888888889","0.857904423581089",NA,NA,NA,"k: 3"
"79","KNN.pc.uni.12","8","0","0","0","1","1",NA,NA,NA,"k: 3"
"80","KNN.pc.uni.12","8","0","0","0","1","1",NA,NA,NA,"k: 6"
"81","KNN.pc.uni.14","10","0","0","0","1","1",NA,NA,NA,"k: 5"
"82","KNN.pc.uni.14","10","0","0","0","1","1",NA,NA,NA,"k: 7"
"83","KNN.pc.uni.14","10","0","3","0","0.869565217391304","0.824908099597201",NA,NA,NA,"k: 6"
"84","KNN.pc.uni.14","9","0","1","0","0.947368421052632","0.930260509419063",NA,NA,NA,"k: 3"
"85","KNN.pc.uni.14","8","1","0","1","0.941176470588235","0.925184888651615",NA,NA,NA,"k: 5"
"86","KNN.pc.uni.14","9","0","0","0","1","1",NA,NA,NA,"k: 3"
"87","KNN.pc.uni.14","8","1","0","1","0.941176470588235","0.924500327042049",NA,NA,NA,"k: 4"
"88","KNN.pc.uni.14","8","0","1","0","0.941176470588235","0.923760430703401",NA,NA,NA,"k: 3"
"89","KNN.pc.uni.14","8","0","0","0","1","1",NA,NA,NA,"k: 3"
"90","KNN.pc.uni.14","7","1","0","1","0.933333333333333","0.917249232131679",NA,NA,NA,"k: 8"
"91","KNN.pc.uni.14","10","0","0","0","1","1",NA,NA,NA,"k: 3"
"92","KNN.pc.uni.14","10","0","1","0","0.952380952380952","0.934946990008457",NA,NA,NA,"k: 3"
"93","KNN.pc.uni.14","10","0","2","0","0.909090909090909","0.877058019307029",NA,NA,NA,"k: 3"
"94","KNN.pc.uni.14","9","0","0","0","1","1",NA,NA,NA,"k: 5"
"95","KNN.pc.uni.14","8","1","0","1","0.941176470588235","0.925184888651615",NA,NA,NA,"k: 5"
"96","KNN.pc.uni.14","9","0","0","0","1","1",NA,NA,NA,"k: 5"
"97","KNN.pc.uni.14","7","2","0","2","0.875","0.848625128695526",NA,NA,NA,"k: 3"
"98","KNN.pc.uni.14","8","0","2","0","0.888888888888889","0.857904423581089",NA,NA,NA,"k: 3"
"99","KNN.pc.uni.14","8","0","0","0","1","1",NA,NA,NA,"k: 3"
"100","KNN.pc.uni.14","8","0","0","0","1","1",NA,NA,NA,"k: 6"
"101","KNN.pc.uni.16","10","0","0","0","1","1",NA,NA,NA,"k: 5"
"102","KNN.pc.uni.16","10","0","0","0","1","1",NA,NA,NA,"k: 7"
"103","KNN.pc.uni.16","10","0","1","0","0.952380952380952","0.934946990008457",NA,NA,NA,"k: 6"
"104","KNN.pc.uni.16","9","0","1","0","0.947368421052632","0.930260509419063",NA,NA,NA,"k: 3"
"105","KNN.pc.uni.16","8","1","0","1","0.941176470588235","0.925184888651615",NA,NA,NA,"k: 5"
"106","KNN.pc.uni.16","9","0","1","0","0.947368421052632","0.930260509419063",NA,NA,NA,"k: 3"
"107","KNN.pc.uni.16","7","2","1","2","0.823529411764706","0.7673352714449",NA,NA,NA,"k: 4"
"108","KNN.pc.uni.16","8","0","1","0","0.941176470588235","0.923760430703401",NA,NA,NA,"k: 3"
"109","KNN.pc.uni.16","8","0","0","0","1","1",NA,NA,NA,"k: 3"
"110","KNN.pc.uni.16","8","0","0","0","1","1",NA,NA,NA,"k: 8"
"111","KNN.pc.uni.16","10","0","0","0","1","1",NA,NA,NA,"k: 3"
"112","KNN.pc.uni.16","10","0","0","0","1","1",NA,NA,NA,"k: 3"
"113","KNN.pc.uni.16","10","0","1","0","0.952380952380952","0.934946990008457",NA,NA,NA,"k: 3"
